Date,Area,Point,Ice Thickness,Snow Depth
2024-11-26,R1,Center,44.0,5.0
2024-11-26,R1,E,42.0,2.0
2024-11-26,R1,SE,42.0,2.0
2024-11-26,R1,S,43.0,3.0
2024-11-26,R1,SW,42.0,1.0
2024-11-26,R1,W,41.0,3.0
2024-11-26,R2,Center,44.0,11.0
2024-11-26,R2,E,43.0,4.0
2024-11-26,R2,SE,43.0,7.0
2024-11-26,R2,S,42.0,4.0
2024-11-26,R2,SW,43.0,4.0
2024-11-26,R2,W,42.0,5.0
2024-11-26,R3,Center,47.0,4.0
2024-11-26,R3,E,42.0,7.0
2024-11-26,R3,SE,41.0,
2024-11-26,R3,S,40.0,4.0
2024-11-26,R3,SW,40.0,
2024-11-26,R3,W,43.0,3.0
2024-11-26,R4,Center,40.0,3.0
2024-11-26,R4,E,40.0,3.0
2024-11-26,R4,SE,41.0,
2024-11-26,R4,S,37.0,4.0
2024-11-26,R4,SW,39.0,
2024-11-26,R4,W,40.0,
2024-11-26,R5,Center,37.0,2.0
2024-11-26,R5,E,43.0,4.0
2024-11-26,R5,SE,43.0,
2024-11-26,R5,S,41.0,3.0
2024-11-26,R5,SW,42.0,
2024-11-26,R5,W,41.0,5.0
2024-11-26,R5,,40.0,
2024-11-26,C1,Center,44.0,3.0
2024-11-26,C2,Center,42.0,
2024-11-26,C3,Center,42.0,
2024-11-26,R6,Center,42.0,
2024-11-26,R7,Center,42.0,
2024-11-26,R8,Center,42.0,
2024-11-29,C1,Center,48.0,4.0
2024-11-30,R1,W,48.0,0.0
2024-12-02,R1,Center,54.0,5.0
2024-12-02,R1,Center,53.0,
2024-12-02,R1,Center,50.0,
2024-12-02,R2,Center,49.0,4.0
2024-12-02,R2,Center,50.0,
2024-12-02,R3,Center,54.0,
2024-12-02,R4,Center,50.0,2.5
2024-12-03,R1,,50.0,
2024-12-03,R3,,55.0,
2024-12-03,R4,,48.0,
2024-12-03,R4,,51.0,
2024-12-03,R4,,49.0,
2024-12-03,R2,,50.0,
2024-12-04,R2,,48.0,4.0
2024-12-04,R2,,50.0,
2024-12-04,R3,,56.0,4.0
2024-12-04,R3,,48.0,8.5
2024-12-04,R2,,46.0,
2024-12-04,R3,,52.0,10.0
2024-12-04,R3,,48.0,6.0
2024-12-04,R2,,49.0,4.5
