Time UTC (yyyy-mm-ddThh:mm:ss.fffZ),Conductivity (S/m),Conductivity QC Flag,Conductivity Count,Density (kg/m3),Density QC Flag,Density Count, Depth (m), Depth QC Flag, Depth Count,Salinity (psu),Salinity QC Flag,Practical Salinity Count,Pressure (dbar), Pressure QC Flag, Pressure Count,Sigma-t (kg/m3),Sigma-t QC Flag,Sigma-t Count,Sigma-theta (0 dbar) (kg/m3),Sigma-theta (0 dbar) QC Flag,Sigma-theta (0 dbar) Count,Sound Speed (m/s),Sound Speed QC Flag,Sound Speed Count,Temperature (C),Temperature QC Flag,Temperature Count
2024-01-01T00:30:00.000Z,2.245250666,7,3558,1022.256669427,7,3558, NaN,9,0,27.659373215,7,3558,9.015430177,7,3559,22.212748255,7,3558,22.212749022,7,3558,1432.677639123,7,3558,-1.427279432,7,3559
2024-01-01T01:30:00.000Z,2.244940118,7,3560,1022.256620831,7,3560, NaN,9,0,27.659573315,7,3560,8.963042953,7,3562,22.212953518,7,3560,22.212954271,7,3560,1432.654331742,7,3560,-1.431968866,7,3562
2024-01-01T02:30:00.000Z,2.245431818,7,3554,1022.263064239,7,3554, NaN,9,0,27.667711283,7,3554,8.928114141,7,3557,22.219567195,7,3554,22.219567946,7,3554,1432.656981429,7,3554,-1.433576525,7,3557
2024-01-01T03:30:00.000Z,2.245242491,7,3557,1022.26027893,7,3557, NaN,9,0,27.664185072,7,3557,8.945298679,7,3559,22.216698241,7,3557,22.216698993,7,3557,1432.657518977,7,3557,-1.432538494,7,3559
2024-01-01T04:30:00.000Z,2.245239243,7,3555,1022.263211776,7,3555, NaN,9,0,27.667493333,7,3555,8.989652528,7,3560,22.219414158,7,3555,22.219414909,7,3555,1432.645119269,7,3555,-1.436166798,7,3560
2024-01-01T05:30:00.000Z,2.245322465,7,3554,1022.26818137,7,3554, NaN,9,0,27.673118627,7,3554,9.064115514,7,3558,22.224020071,7,3554,22.224020821,7,3554,1432.630223129,7,3554,-1.441059668,7,3558
2024-01-01T06:30:00.000Z,2.245519592,7,3556,1022.268609515,7,3556, NaN,9,0,27.673056637,7,3556,9.167818054,7,3556,22.2239439,7,3556,22.223944664,7,3556,1432.645681946,7,3556,-1.438192998,7,3556
2024-01-01T07:30:00.000Z,2.245451044,7,3555,1022.264970299,7,3555, NaN,9,0,27.668136821,7,3555,9.247892606,7,3557,22.219915457,7,3555,22.219916234,7,3555,1432.660924613,7,3555,-1.433941158,7,3557
2024-01-01T08:30:00.000Z,2.246115186,7,3548,1022.264178747,7,3548, NaN,9,0,27.66702049,7,3548,9.292296901,7,3550,22.218910787,7,3548,22.21891159,7,3548,1432.712530158,7,3548,-1.423127803,7,3550
2024-01-01T09:30:00.000Z,2.245313077,7,3555,1022.258905876,7,3555, NaN,9,0,27.660295949,7,3555,9.320459528,7,3558,22.213498818,7,3555,22.213499611,7,3555,1432.68250211,7,3555,-1.427533642,7,3558
2024-01-01T10:30:00.000Z,2.24555069,7,3553,1022.267982135,7,3553, NaN,9,0,27.671756938,7,3553,9.258842801,7,3556,22.222873492,7,3553,22.222874266,7,3553,1432.654113707,7,3553,-1.436390917,7,3556
2024-01-01T11:30:00.000Z,2.245274116,7,3559,1022.25995355,7,3559, NaN,9,0,27.662231498,7,3559,9.208318629,7,3559,22.215092147,7,3559,22.215092926,7,3559,1432.670785895,7,3559,-1.430127536,7,3559
2024-01-01T12:30:00.000Z,2.245420355,7,3553,1022.265175571,7,3553, NaN,9,0,27.669195778,7,3553,9.110834973,7,3557,22.220788065,7,3553,22.220788828,7,3553,1432.652869969,7,3553,-1.435443632,7,3557
2024-01-01T13:30:00.000Z,2.245247527,7,3558,1022.261644749,7,3558, NaN,9,0,27.665291484,7,3558,9.039212981,7,3559,22.217606276,7,3558,22.217607034,7,3558,1432.654849916,7,3558,-1.433708542,7,3559
2024-01-01T14:30:00.000Z,2.245787274,7,3551,1022.266939377,7,3551, NaN,9,0,27.672242016,7,3551,8.969977209,7,3554,22.223238914,7,3551,22.22323967,7,3551,1432.665030132,7,3551,-1.433318936,7,3554
2024-01-01T15:30:00.000Z,2.245425412,7,3553,1022.263252123,7,3553, NaN,9,0,27.667990515,7,3553,8.919449255,7,3557,22.219797252,7,3553,22.219798001,7,3553,1432.655339431,7,3553,-1.433962974,7,3557
2024-01-01T16:30:00.000Z,2.245462307,7,3555,1022.264878293,7,3555, NaN,9,0,27.670161181,7,3555,8.888529941,7,3557,22.221573721,7,3555,22.221574464,7,3555,1432.649126864,7,3555,-1.435748665,7,3557
2024-01-01T17:30:00.000Z,2.245640678,7,3552,1022.26447523,7,3552, NaN,9,0,27.66937911,7,3552,8.942539241,7,3555,22.220908441,7,3552,22.220909196,7,3552,1432.66541723,7,3552,-1.432348579,7,3555
2024-01-01T18:30:00.000Z,2.245659097,7,3553,1022.266080824,7,3553, NaN,9,0,27.671144188,7,3553,8.975158413,7,3554,22.222354878,7,3553,22.222355633,7,3553,1432.660330425,7,3553,-1.433998481,7,3554
2024-01-01T19:30:00.000Z,2.245759251,7,3552,1022.268449541,7,3552, NaN,9,0,27.673567793,7,3552,9.055681486,7,3554,22.224331151,7,3552,22.224331912,7,3552,1432.659070664,7,3552,-1.435201913,7,3554
2024-01-01T20:30:00.000Z,2.245650011,7,3553,1022.27098516,7,3553, NaN,9,0,27.676343681,7,3553,9.105248945,7,3555,22.226624106,7,3553,22.226624863,7,3553,1432.64135069,7,3553,-1.4398027,7,3555
2024-01-01T21:30:00.000Z,2.245937443,7,3551,1022.268529383,7,3551, NaN,9,0,27.673198085,7,3551,9.139394707,7,3552,22.224004018,7,3551,22.224004792,7,3551,1432.674132639,7,3551,-1.432263288,7,3552
2024-01-01T22:30:00.000Z,2.246173357,7,3548,1022.266894954,7,3548, NaN,9,0,27.671250648,7,3548,9.138743308,7,3549,22.222374258,7,3548,22.222375042,7,3548,1432.698237317,7,3548,-1.426752325,7,3549
2024-01-01T23:30:00.000Z,2.246247083,7,3548,1022.265953093,7,3548, NaN,9,0,27.670250113,7,3548,9.116138631,7,3549,22.221543048,7,3548,22.221543834,7,3548,1432.706982807,7,3548,-1.424591547,7,3549
2024-01-02T00:30:00.000Z,2.246395664,7,3545,1022.268294737,7,3545, NaN,9,0,27.673427165,7,3545,9.065591935,7,3546,22.224130797,7,3545,22.224131577,7,3545,1432.704465444,7,3545,-1.425828511,7,3546
2024-01-02T01:30:00.000Z,2.246045765,7,3547,1022.268148671,7,3547, NaN,9,0,27.67349625,7,3547,9.014099127,7,3551,22.224234079,7,3547,22.224234845,7,3547,1432.678950381,7,3547,-1.43093982,7,3551
2024-01-02T02:30:00.000Z,2.24575451,7,3550,1022.273182385,7,3550, NaN,9,0,27.679932704,7,3550,8.954599043,7,3554,22.229554967,7,3550,22.229555708,7,3550,1432.632826761,7,3550,-1.442056669,7,3554
2024-01-02T03:30:00.000Z,2.24569413,7,3550,1022.271587826,7,3550, NaN,9,0,27.677940732,7,3550,8.961258019,7,3554,22.227928111,7,3550,22.227928854,7,3550,1432.636362535,7,3550,-1.440797411,7,3554
2024-01-02T04:30:00.000Z,2.245737961,7,3551,1022.271150752,7,3551, NaN,9,0,27.677431343,7,3551,8.958700338,7,3554,22.227503845,7,3551,22.22750459,7,3551,1432.641371726,7,3551,-1.439617192,7,3554
2024-01-02T05:30:00.000Z,2.246405519,7,3546,1022.279553229,7,3546, NaN,9,0,27.687355076,7,3546,9.029644206,7,3547,22.235561154,7,3546,22.235561908,7,3546,1432.650909757,7,3546,-1.440646462,7,3547
2024-01-02T06:30:00.000Z,2.246042139,7,3549,1022.2785371,7,3549, NaN,9,0,27.685643731,7,3549,9.099226978,7,3551,22.234204835,7,3549,22.234205586,7,3549,1432.632891237,7,3549,-1.444116418,7,3551
2024-01-02T07:30:00.000Z,2.246026883,7,3545,1022.277382286,7,3545, NaN,9,0,27.683641495,7,3545,9.199039437,7,3550,22.232564226,7,3545,22.232564989,7,3545,1432.640869676,7,3545,-1.442242845,7,3550
2024-01-02T08:30:00.000Z,2.245939994,7,3543,1022.279520416,7,3543, NaN,9,0,27.685928366,7,3543,9.250113176,7,3552,22.2344526,7,3543,22.234453361,7,3543,1432.626621507,7,3543,-1.44598795,7,3552
2024-01-02T09:30:00.000Z,2.246023343,7,3548,1022.276065308,7,3548, NaN,9,0,27.681460626,7,3548,9.296049564,7,3551,22.230775193,7,3548,22.230775968,7,3548,1432.650352593,7,3548,-1.439999043,7,3551
2024-01-02T10:30:00.000Z,2.245774384,7,3549,1022.271639661,7,3549, NaN,9,0,27.676129191,7,3549,9.279043613,7,3554,22.226432567,7,3549,22.226433342,7,3549,1432.653186531,7,3549,-1.437867192,7,3554
2024-01-02T11:30:00.000Z,2.245418172,7,3556,1022.265999897,7,3556, NaN,9,0,27.669529471,7,3556,9.223617655,7,3557,22.221062876,7,3556,22.221063648,7,3556,1432.652918729,7,3556,-1.435901125,7,3557
2024-01-02T12:30:00.000Z,2.245683758,7,3552,1022.268997782,7,3552, NaN,9,0,27.673596931,7,3552,9.161057963,7,3554,22.224365639,7,3552,22.224366406,7,3552,1432.655053209,7,3552,-1.436389533,7,3554
2024-01-02T13:30:00.000Z,2.245525746,7,3554,1022.269865773,7,3554, NaN,9,0,27.67520363,7,3554,9.064154949,7,3556,22.225704617,7,3554,22.225705369,7,3554,1432.636436972,7,3554,-1.440356299,7,3556
2024-01-02T14:30:00.000Z,2.245646172,7,3553,1022.270372615,7,3553, NaN,9,0,27.676143653,7,3553,9.013227286,7,3555,22.226459934,7,3553,22.226460683,7,3553,1432.64059302,7,3553,-1.439592124,7,3555
2024-01-02T15:30:00.000Z,2.245477914,7,3553,1022.268392221,7,3553, NaN,9,0,27.674213763,7,3553,8.927303064,7,3557,22.224897767,7,3553,22.224898507,7,3553,1432.635089502,7,3553,-1.43990208,7,3557
2024-01-02T16:30:00.000Z,2.246093948,7,3546,1022.273845187,7,3546, NaN,9,0,27.681036041,7,3546,8.914226761,7,3550,22.230415565,7,3546,22.230416311,7,3546,1432.651884941,7,3546,-1.438301127,7,3550
2024-01-02T17:30:00.000Z,2.246128023,7,3546,1022.276290007,7,3546, NaN,9,0,27.684159814,7,3546,8.890652113,7,3550,22.232974631,7,3546,22.232975371,7,3546,1432.64191568,7,3546,-1.441152085,7,3550
2024-01-02T18:30:00.000Z,2.24616127,7,3543,1022.274204365,7,3543, NaN,9,0,27.681305165,7,3543,8.944442942,7,3549,22.230627674,7,3543,22.230628424,7,3543,1432.655975727,7,3543,-1.437631615,7,3549
2024-01-02T19:30:00.000Z,2.246024846,7,3547,1022.282281143,7,3547, NaN,9,0,27.690958726,7,3547,8.971870177,7,3551,22.238568032,7,3547,22.238568764,7,3547,1432.609474204,7,3547,-1.450005858,7,3551
2024-01-02T20:30:00.000Z,2.246211703,7,3547,1022.283155328,7,3547, NaN,9,0,27.691557231,7,3547,9.05553029,7,3549,22.23903537,7,3547,22.239036113,7,3547,1432.62141669,7,3547,-1.44799211,7,3549
2024-01-02T21:30:00.000Z,2.246349236,7,3547,1022.286099379,7,3547, NaN,9,0,27.695060079,7,3547,9.073444319,7,3547,22.241891904,7,3547,22.241892647,7,3547,1432.617799549,7,3547,-1.449769354,7,3547
2024-01-02T22:30:00.000Z,2.246800776,7,3542,1022.282159102,7,3542, NaN,9,0,27.690114032,7,3542,9.110677674,7,3543,22.237773367,7,3542,22.237774134,7,3542,1432.669084416,7,3542,-1.437930116,7,3543
2024-01-02T23:30:00.000Z,2.246468188,7,3544,1022.281505429,7,3544, NaN,9,0,27.689336541,7,3544,9.098164693,7,3546,22.23717939,7,3544,22.237180148,7,3544,1432.648573081,7,3544,-1.44191018,7,3546
2024-01-03T00:30:00.000Z,2.245981851,7,3550,1022.278317934,7,3550, NaN,9,0,27.685516113,7,3550,9.074103885,7,3552,22.234107895,7,3550,22.234108643,7,3550,1432.628849014,7,3550,-1.444835248,7,3552
2024-01-03T01:30:00.000Z,2.246035678,7,3547,1022.277293326,7,3547, NaN,9,0,27.684511897,7,3547,9.034537465,7,3550,22.233276509,7,3547,22.233277257,7,3547,1432.635947279,7,3547,-1.44295507,7,3550
2024-01-03T02:30:00.000Z,2.24581161,7,3553,1022.275809409,7,3553, NaN,9,0,27.682956234,7,3553,8.985908528,7,3553,22.23202893,7,3553,22.23202967,7,3553,1432.625533915,7,3553,-1.444503715,7,3553
2024-01-03T03:30:00.000Z,2.246287746,7,3545,1022.278037778,7,3545, NaN,9,0,27.68596567,7,3545,8.949534799,7,3549,22.234435843,7,3545,22.234436589,7,3545,1432.646925811,7,3545,-1.440818822,7,3549
2024-01-03T04:30:00.000Z,2.246293966,7,3545,1022.28348942,7,3545, NaN,9,0,27.692688181,7,3545,8.936032694,7,3548,22.239951686,7,3545,22.23995242,7,3545,1432.621236389,7,3545,-1.447947773,7,3548
2024-01-03T05:30:00.000Z,2.246623156,7,3543,1022.282535908,7,3543, NaN,9,0,27.691445272,7,3543,8.958951467,7,3544,22.238888219,7,3543,22.238888967,7,3543,1432.649471634,7,3543,-1.441850818,7,3544
2024-01-03T06:30:00.000Z,2.246337563,7,3545,1022.284483357,7,3545, NaN,9,0,27.693489676,7,3545,9.006098929,7,3548,22.240604304,7,3545,22.240605043,7,3545,1432.62213653,7,3545,-1.448215079,7,3548
2024-01-03T07:30:00.000Z,2.246420731,7,3542,1022.287117255,7,3542, NaN,9,0,27.696198391,7,3542,9.092503666,7,3546,22.242816941,7,3542,22.242817685,7,3542,1432.618681536,7,3542,-1.449969402,7,3546
2024-01-03T08:30:00.000Z,2.246499331,7,3544,1022.289857192,7,3544, NaN,9,0,27.699286089,7,3544,9.136786238,7,3546,22.245340752,7,3544,22.245341497,7,3544,1432.612875847,7,3544,-1.452174168,7,3546
2024-01-03T09:30:00.000Z,2.2468271,7,3541,1022.294014505,7,3541, NaN,9,0,27.70394976,7,3541,9.213312165,7,3543,22.249125589,7,3541,22.249126342,7,3541,1432.618895792,7,3541,-1.452481174,7,3543
2024-01-03T10:30:00.000Z,2.246612758,7,3543,1022.29030144,7,3543, NaN,9,0,27.699459977,7,3543,9.201738149,7,3544,22.245469028,7,3543,22.245469781,7,3543,1432.621021169,7,3543,-1.450756377,7,3544
2024-01-03T11:30:00.000Z,2.24681909,7,3540,1022.288101883,7,3540, NaN,9,0,27.696927006,7,3540,9.182825007,7,3543,22.243363088,7,3540,22.24336385,7,3540,1432.645043785,7,3540,-1.445035676,7,3543
2024-01-03T12:30:00.000Z,2.246566585,7,3543,1022.292273871,7,3543, NaN,9,0,27.702295625,7,3543,9.127655571,7,3545,22.247801512,7,3543,22.247802253,7,3543,1432.605876658,7,3543,-1.454428491,7,3545
2024-01-03T13:30:00.000Z,2.246633435,7,3540,1022.29365375,7,3540, NaN,9,0,27.70442613,7,3540,9.053885158,7,3544,22.249540808,7,3540,22.249541542,7,3540,1432.601364407,7,3540,-1.455706998,7,3544
2024-01-03T14:30:00.000Z,2.246860955,7,3541,1022.28151115,7,3541, NaN,9,0,27.690098334,7,3541,8.982144833,7,3542,22.237751812,7,3541,22.23775257,7,3541,1432.671699238,7,3541,-1.436963919,7,3542
2024-01-03T15:30:00.000Z,2.24660956,7,3545,1022.28686674,7,3545, NaN,9,0,27.697030889,7,3545,8.906250494,7,3545,22.243474449,7,3545,22.243475182,7,3545,1432.626259238,7,3545,-1.448019859,7,3545
2024-01-03T16:30:00.000Z,2.246761489,7,3539,1022.285252514,7,3539, NaN,9,0,27.695310229,7,3539,8.869129269,7,3543,22.242042105,7,3539,22.242042842,7,3539,1432.64307375,7,3539,-1.443950127,7,3543
2024-01-03T17:30:00.000Z,2.246641745,7,3542,1022.293164876,7,3542, NaN,9,0,27.705217165,7,3542,8.820698928,7,3544,22.250187601,7,3542,22.250188315,7,3542,1432.59582524,7,3542,-1.456297799,7,3544
2024-01-03T18:30:00.000Z,2.246683283,7,3542,1022.291348563,7,3542, NaN,9,0,27.7027452,7,3542,8.865448646,7,3544,22.248154029,7,3542,22.248154752,7,3542,1432.608871824,7,3542,-1.453070852,7,3544
2024-01-03T19:30:00.000Z,2.24677685,7,3543,1022.295938702,7,3543, NaN,9,0,27.708232656,7,3543,8.885629975,7,3543,22.252644994,7,3543,22.252645711,7,3543,1432.594518205,7,3543,-1.457627999,7,3543
2024-01-03T20:30:00.000Z,2.246872553,7,3541,1022.295993602,7,3541, NaN,9,0,27.70802937,7,3541,8.933723602,7,3542,22.252466018,7,3541,22.252466742,7,3541,1432.602672127,7,3541,-1.456047685,7,3542
2024-01-03T21:30:00.000Z,2.247048052,7,3537,1022.296063684,7,3537, NaN,9,0,27.70789672,7,3537,8.975256215,7,3540,22.252334566,7,3537,22.252335299,7,3537,1432.616059372,7,3537,-1.453381893,7,3540
2024-01-03T22:30:00.000Z,2.247305358,7,3535,1022.296663655,7,3535, NaN,9,0,27.708509929,7,3535,9.00219084,7,3537,22.252804231,7,3535,22.252804972,7,3535,1432.632133522,7,3535,-1.450327905,7,3537
2024-01-03T23:30:00.000Z,2.247733311,7,3531,1022.297058099,7,3531, NaN,9,0,27.709023421,7,3531,9.008537504,7,3533,22.253169485,7,3531,22.253170239,7,3531,1432.660299349,7,3531,-1.444680385,7,3533
2024-01-04T00:30:00.000Z,2.2473782,7,3534,1022.298613091,7,3534, NaN,9,0,27.710939474,7,3534,8.995009613,7,3537,22.254788399,7,3534,22.254789138,7,3534,1432.627801075,7,3534,-1.451879955,7,3537
2024-01-04T01:30:00.000Z,2.247459253,7,3532,1022.293198968,7,3532, NaN,9,0,27.704527718,7,3532,8.96635389,7,3535,22.249515706,7,3532,22.249516455,7,3532,1432.65783607,7,3532,-1.443797793,7,3535
2024-01-04T02:30:00.000Z,2.247382191,7,3537,1022.295843032,7,3537, NaN,9,0,27.707870229,7,3537,8.94371162,7,3537,22.252268995,7,3537,22.252269735,7,3537,1432.639227311,7,3537,-1.44849378,7,3537
2024-01-04T03:30:00.000Z,2.246707617,7,3542,1022.291623884,7,3542, NaN,9,0,27.703006014,7,3542,8.87869094,7,3543,22.248364887,7,3542,22.248365611,7,3542,1432.609739695,7,3542,-1.453006887,7,3543
2024-01-04T04:30:00.000Z,2.246795222,7,3541,1022.29333253,7,3541, NaN,9,0,27.705082858,7,3541,8.881887384,7,3543,22.250057858,7,3541,22.250058581,7,3541,1432.607937023,7,3541,-1.453969997,7,3543
2024-01-04T05:30:00.000Z,2.246657153,7,3540,1022.29315329,7,3540, NaN,9,0,27.704948785,7,3540,8.863891084,7,3544,22.24996571,7,3540,22.249966428,7,3540,1432.598470621,7,3540,-1.45582263,7,3544
2024-01-04T06:30:00.000Z,2.246931576,7,3541,1022.294865057,7,3541, NaN,9,0,27.706839622,7,3541,8.904189159,7,3542,22.251481907,7,3541,22.251482633,7,3541,1432.611012708,7,3541,-1.453895709,7,3542
