Time UTC (yyyy-mm-ddThh:mm:ss.fffZ),Air Pressure (hPa),Absolute Humidity (g/m^3),Air Density (kg/m3),Air Temperature (C),Dew Point (C),Mixing Ratio (g/kg),Relative Air Pressure (hPa),Relative Humidity (%),Specific Enthalpy (kJ/kg),Wind Direction (deg),Wind Speed (m/s)
2024-01-01T00:30:00.000Z,1018.218136833,0.532670138,1.4348225,-25.992411933,-29.847658233,0.317271437,1018.218136833,70.003717617,-25.355959117,53.107783642,3.738081772
2024-01-01T01:30:00.000Z,1018.871825833,0.506655995,1.439068145,-26.556019983,-30.407957083,0.300771033,1018.871825833,69.893421283,-25.963419133,79.596381541,2.853799854
2024-01-01T02:30:00.000Z,1018.547287833,0.488080481,1.44131652,-27.01815985,-30.8231028,0.289188775,1018.547287833,70.098208617,-26.45672185,30.566378983,5.505665774
2024-01-01T03:30:00.000Z,1019.041056333,0.482255149,1.441736518,-26.970958017,-30.946753083,0.28566176,1019.041056333,68.979614233,-26.417881083,31.3141915,5.127479767
2024-01-01T04:30:00.000Z,1019.3486115,0.480168523,1.443242697,-27.1538182,-31.0014935,0.284093449,1019.3486115,69.7826686,-26.605677367,25.699900455,4.76772246
2024-01-01T05:30:00.000Z,1019.807623667,0.497621475,1.441208407,-26.6962472,-30.60531655,0.294941505,1019.807623667,69.4850725,-26.11877675,27.606355877,4.505512703
2024-01-01T06:30:00.000Z,1019.9820025,0.514833366,1.438044313,-26.114484433,-30.214481583,0.305930201,1019.9820025,68.37823455,-25.5065813,28.970420042,3.693270549
2024-01-01T07:30:00.000Z,1020.568139667,0.547195571,1.434624945,-25.387920767,-29.531703367,0.32610701,1020.568139667,68.271718283,-24.726137283,37.719895368,2.751838414
2024-01-01T08:30:00.000Z,1021.1871055,0.575454922,1.432435897,-24.859127317,-28.970322517,0.343610779,1021.1871055,68.608292433,-24.15117335,75.120981685,2.621248212
2024-01-01T09:30:00.000Z,1021.3189295,0.620781393,1.428565725,-24.158666567,-28.116817633,0.371859366,1021.3189295,69.756163617,-23.377074467,70.90576411,2.786962401
2024-01-01T10:30:00.000Z,1021.628541833,0.664806079,1.424223382,-23.331703417,-27.334509867,0.399687222,1021.628541833,69.66079985,-22.476643783,101.215755952,2.090752891
2024-01-01T11:30:00.000Z,1021.6513365,0.718761447,1.41902656,-22.41431215,-26.43467935,0.433985552,1021.6513365,69.7604274,-21.469227467,39.769013182,3.063457475
2024-01-01T12:30:00.000Z,1021.637116833,0.750263837,1.415672017,-21.827177767,-25.933336383,0.454262694,1021.637116833,69.35292615,-20.828534033,53.901682381,3.176195633
2024-01-01T13:30:00.000Z,1022.014059,0.76039376,1.415589872,-21.718535717,-25.778961267,0.460456078,1022.014059,69.66594105,-20.703970883,257.711851348,1.886695053
2024-01-01T14:30:00.000Z,1022.0905705,0.764975667,1.414716103,-21.544917117,-25.7039878,0.463572435,1022.0905705,69.0852592,-20.5215887,304.9556804,1.831605577
2024-01-01T15:30:00.000Z,1022.2272655,0.76692963,1.415365533,-21.628998317,-25.6801636,0.464520385,1022.2272655,69.749285817,-20.603866967,320.963569,1.665929686
2024-01-01T16:30:00.000Z,1022.3113005,0.795152156,1.415037597,-21.55235195,-25.277713467,0.481759604,1022.3113005,71.84809065,-20.484314517,322.804374167,1.791712296
2024-01-01T17:30:00.000Z,1022.3943685,0.819605173,1.413469937,-21.25654145,-24.925783217,0.497233692,1022.3943685,72.279547933,-20.148538983,302.941188667,2.483333047
2024-01-01T18:30:00.000Z,1022.418429833,0.83932866,1.41089744,-20.791564367,-24.636608783,0.510283353,1022.418429833,71.258148367,-19.648471033,297.737794833,2.406293423
2024-01-01T19:30:00.000Z,1022.6238715,0.846831173,1.408913533,-20.386157283,-24.518144433,0.515718675,1022.6238715,69.522696867,-19.227079467,289.789025,2.707097632
2024-01-01T20:30:00.000Z,1022.601594,0.890993159,1.406425953,-19.949983683,-23.925470883,0.543734042,1022.601594,70.608032883,-18.719091683,293.242130167,3.708121186
2024-01-01T21:30:00.000Z,1022.889688,0.837583535,1.407081653,-19.991386417,-24.623285417,0.510893592,1022.889688,66.567222483,-18.841661667,282.065955667,3.397027638
2024-01-01T22:30:00.000Z,1022.92153,0.766339742,1.413741423,-21.167977883,-25.66629095,0.464842052,1022.92153,67.085031417,-20.139142433,290.613313,1.830417106
2024-01-01T23:30:00.000Z,1022.914828333,0.754047669,1.415154352,-21.419734967,-25.858734217,0.456859723,1022.914828333,67.389687067,-20.412129717,282.571325833,2.743829015
2024-01-02T00:30:00.000Z,1022.635141833,0.74178795,1.416929832,-21.802148067,-26.062721133,0.448746592,1022.635141833,68.4139217,-20.81691445,272.2635675,3.171630802
2024-01-02T01:30:00.000Z,1022.459463167,0.779730477,1.415235575,-21.549320967,-25.49329825,0.472342977,1022.459463167,70.44534765,-20.504437933,277.858367667,3.199988755
2024-01-02T02:30:00.000Z,1022.241447,0.769467697,1.415615358,-21.6693145,-25.646531717,0.465965559,1022.241447,70.204235033,-20.6408811,284.459497833,3.324063321
2024-01-02T03:30:00.000Z,1022.089058333,0.82712155,1.411564475,-20.98962395,-24.813253467,0.502566749,1022.089058333,71.3393359,-19.86678965,285.81877504,3.501548925
2024-01-02T04:30:00.000Z,1021.967073833,0.906384721,1.407791908,-20.35474755,-23.754641217,0.552451027,1021.967073833,74.229658717,-19.105000083,296.832384667,4.155595293
